,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2003-04-10,25.43000030517578,25.940000534057617,24.780000686645508,25.670000076293945,25.670000076293945,9311200,AMZN,26.753344,29.43000030517578,1.083343505859375,0.0
2003-04-14,24.799999237060547,25.149999618530273,24.5,25.049999237060547,25.049999237060547,10417100,AMZN,26.655346,30.8799991607666,1.6053466796875,0.0
2003-04-17,24.469999313354492,25.010000228881836,24.350000381469727,24.989999771118164,24.989999771118164,6789900,AMZN,27.03387,30.959999084472656,2.0438709259033203,0.0
2003-04-21,25.030000686645508,26.170000076293945,24.899999618530273,25.25,25.25,7132300,AMZN,27.72201,31.700000762939453,2.4720096588134766,0.0
2003-04-23,26.399999618530273,26.549999237060547,25.360000610351562,25.43000030517578,25.43000030517578,8850100,AMZN,27.3655,32.599998474121094,1.9354991912841797,0.0
2003-04-30,28.600000381469727,29.0,28.3799991607666,28.690000534057617,28.690000534057617,9450000,AMZN,25.460258,31.749999999999996,-3.2297420501708984,0.0
2003-05-06,29.8700008392334,31.18000030517578,29.799999237060547,30.8799991607666,30.8799991607666,13962400,AMZN,30.887934,34.86000061035156,0.0079345703125,0.0
2003-05-12,30.829999923706055,31.799999237060547,30.670000076293945,31.700000762939453,31.700000762939453,7246900,AMZN,34.326546,35.22999954223633,2.626544952392578,0.0
2003-06-16,34.56999969482422,35.849998474121094,34.08000183105469,35.84000015258789,35.84000015258789,7127900,AMZN,37.204372,40.5099983215332,1.3643722534179688,0.0
2003-07-08,38.7599983215332,40.83000183105469,38.75,40.5099983215332,40.5099983215332,12145400,AMZN,41.45295,41.38999938964844,0.9429512023925781,0.0
2003-07-18,36.31999969482422,36.849998474121094,34.790000915527344,34.97999954223633,34.97999954223633,13402900,AMZN,37.523903,39.150001525878906,2.543903350830078,0.0
2003-07-30,41.150001525878906,41.27000045776367,40.45000076293945,40.65999984741211,40.65999984741211,7166300,AMZN,39.75467,43.7599983215332,-0.9053306579589844,0.0
2003-08-05,39.2400016784668,39.849998474121094,38.630001068115234,38.66999816894531,38.66999816894531,6816200,AMZN,42.889057,45.93000030517578,4.219058990478516,0.0
2003-08-11,38.9900016784668,39.040000915527344,38.349998474121094,38.93000030517578,38.93000030517578,5239100,AMZN,43.61915,47.33000183105469,4.68914794921875,0.0
2003-08-18,40.47999954223633,43.2400016784668,40.380001068115234,43.02000045776367,43.02000045776367,11174200,AMZN,45.958904,46.68000030517578,2.93890380859375,0.0
2003-09-05,46.95000076293945,47.47999954223633,46.099998474121094,46.52000045776367,46.52000045776367,8102900,AMZN,48.56049,48.560001373291016,2.0404891967773438,0.0
2003-09-25,49.65999984741211,50.95000076293945,49.279998779296875,50.04999923706055,50.04999923706055,11033300,AMZN,49.31007,59.90999984741211,-0.73992919921875,0.0
2003-10-21,59.72999954223633,61.150001525878906,59.0099983215332,59.349998474121094,59.349998474121094,17114900,AMZN,62.5871,52.22999954223633,0.0,-3.237102508544922
2003-10-24,54.54999923706055,54.939998626708984,53.0,54.5099983215332,54.5099983215332,10438200,AMZN,60.77168,52.45000076293945,0.0,-6.261680603027344
2003-11-03,54.79999923706055,56.79999923706055,54.310001373291016,56.7400016784668,56.7400016784668,9131100,AMZN,60.16573,51.33000183105469,0.0,-3.4257278442382812
2003-11-10,53.95000076293945,54.0,51.7400016784668,51.97999954223633,51.97999954223633,9120500,AMZN,57.0068,53.93000030517578,5.026802062988281,0.0
2003-11-11,51.84000015258789,52.75,50.7599983215332,52.22999954223633,52.22999954223633,10920100,AMZN,55.988506,51.5099983215332,0.0,-3.7585067749023438
2003-12-02,54.5,54.75,53.849998474121094,53.93000030517578,53.93000030517578,6237900,AMZN,55.014587,52.47999954223633,0.0,-1.0845870971679688
2003-12-03,54.099998474121094,54.25,51.36000061035156,51.5099983215332,51.5099983215332,11570800,AMZN,52.62141,53.31999969482422,1.1114120483398438,0.0
2003-12-05,51.20000076293945,52.70000076293945,51.20000076293945,51.560001373291016,51.560001373291016,7501500,AMZN,55.170734,53.470001220703125,3.6107330322265625,0.0
2003-12-09,51.16999816894531,51.650001525878906,49.29999923706055,49.34000015258789,49.34000015258789,10460500,AMZN,52.21706,52.619998931884766,2.8770599365234375,0.0
2003-12-18,47.61000061035156,48.88999938964844,47.45000076293945,48.75,48.75,10750700,AMZN,51.424877,52.95000076293945,2.674877166748047,0.0
2003-12-23,50.02000045776367,52.619998931884766,49.77000045776367,52.47999954223633,52.47999954223633,11004000,AMZN,53.419144,56.180000305175774,0.9391441345214844,0.0
2003-12-29,53.790000915527344,53.84000015258789,52.130001068115234,53.470001220703125,53.470001220703125,8056900,AMZN,53.442394,56.20000076293945,-0.027606964111328125,0.0
2004-02-11,45.86000061035156,47.36000061035156,45.540000915527344,47.13999938964844,47.13999938964844,7881700,AMZN,50.96495,44.38999938964844,0.0,-3.824951171875
2004-02-17,46.13999938964844,46.45000076293945,44.79999923706055,45.529998779296875,45.529998779296875,11038200,AMZN,47.56576,42.709999084472656,0.0,-2.0357627868652344
2004-02-19,45.150001525878906,46.15999984741211,44.650001525878906,44.650001525878906,44.650001525878906,7442500,AMZN,50.12624,41.279998779296875,0.0,-5.476238250732422
2004-02-20,44.79999923706055,45.380001068115234,44.72999954223633,45.16999816894531,45.16999816894531,7475300,AMZN,49.36146,42.439998626708984,0.0,-4.191463470458984
2004-02-23,45.18000030517578,45.25,43.349998474121094,43.970001220703125,43.970001220703125,9341900,AMZN,46.92628,41.08000183105469,0.0,-2.956279754638672
2004-02-24,43.91999816894531,43.939998626708984,42.22999954223633,42.31999969482422,42.31999969482422,11095300,AMZN,45.037556,42.130001068115234,0.0,-2.7175559997558594
2004-02-27,43.56999969482422,43.599998474121094,42.52000045776367,43.0099983215332,43.0099983215332,7163600,AMZN,46.684944,42.79999923706055,0.0,-3.674945831298828
